Pais,Cluster,PIB_per,Poblacion,Esperanza.vida,Acceso.electricidad,Area.boscosa,Suscripciones.movil,Crecimiento.PIB,Mortalidad.infantil,Inversion.extranjera,Gasto.salud,Uso.internet,Importaciones,Exportaciones,Tierra.cultivable,Crecimiento.poblacion,Industria,Remesas
Jordan,2,4332.25159897931,11256263,77.088,100,1.09804716534901,67.7457,2.64743514912058,12.6,1.97382535440765,6.82820034,90.5,61.5579922828454,42.5374671563433,2.28187940626619,1.70151702842564,24.4882015845826,9.78565654560806
Kazakhstan,2,11255.3396437881,20034609,73.503,100,1.3013145534689,125.642,3.19999999970734,7.7,2.25355434978679,3.74026752,92.2969,26.7653058374068,41.5690089041544,10.9899988887654,1.46316879039749,34.9793974237581,0.213219830288597
"Korea, Rep.",1,32394.6833725203,51672569,82.6804878048781,100,64.2110655737705,148.684,2.61267219187226,2.4,1.49617378306838,9.43414211,97.1686,48.2646450676456,48.2717642210409,13.5245901639344,-0.187486566698935,31.7263012565745,0.466839292456602
Kuwait,2,39981.7690981957,4589643,80.5878048780488,100,0.350729517396184,168.35,6.75866704650672,7.6,0.409943823309635,4.26875782,99.7237,30.4702156747961,60.4485945397978,0.448933782267116,5.11318110910574,65.7663289229711,0.0120439357599909
Kyrgyz Republic,2,1739.72018344174,6975220,72.0487804878049,99.7,7.04827945776851,106.926,8.96750520041391,15.1,0.451992680624909,4.92258883,82.5991,87.4494462179864,46.3372718307792,6.70690823774765,1.7936545985598,24.1941421977643,26.5775606386275
Latvia,1,20227.2307431581,1879383,74.2780487804878,100,54.933793990037,115.203,1.80677198008065,2.7,3.20240857817949,7.62168407,91.0301,82.3663370930625,77.4780077659979,21.8062027960791,-0.271369577775699,20.7229871183051,3.40438236283811
Lebanon,2,3654.35845534878,5744489,78.003,100,14.128054740958,74.0148,-0.621678970663112,15.1,2.50966160641735,5.73500204,82.798,80.0594990196196,34.8287792460469,13.341642228739,0.460053063032864,2.39076209975393,30.6555163782975
Lesotho,3,1030.12579628833,2286110,56.812,50,1.13702239789196,68.1001,2.38778020186284,57.6,-0.332065080152618,12.65127754,46.5007,95.8675991077489,46.5063823361123,8.93939393939394,1.08048016923391,30.4887412826069,22.6158652653176
Lithuania,1,25085.784063499,2831639,75.6439024390244,100,35.2036435371542,135.834,2.53752574011534,2.9,3.40588108209325,7.24335003,87.7242,88.8717628567494,86.7798492943433,36.6174685323622,0.824789131191284,25.6398695886222,1.03605141610572
Luxembourg,4,123719.658915996,653103,82.9463414634147,100,34.4538272103664,139.651,-1.09505351160836,2,-391.555119009248,5.55154753,98.242,189.868713761072,222.308456163103,24.0796128120072,2.01666790212729,9.1137991530042,2.75335179079447
